timezone,videoId,channelId,channelTitle,title,commentCount,viewCount,likeCount,dislikeCount,date,cln_title
2021-11-06T18:40:12Z,iEte0-sMB1g,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#５】シリーズ初見！！！龍が如く極するしゅばああああああああああああ！！！！！！：YAKUZA KIWAMI【※ネタバレあり】,0,45618,5160,40,2021-11-06,【 # 5 】 シリーズ 初 見 !!! 龍 が 如く 極 する し ゅばああああああああああああ !!!!!!: YAKUZA   KIWAMI 【 ※ ネタ バレ あり 】
2021-11-06T13:07:29Z,EaqSdZEje8A,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【本番】白Aチーム！！！いくぞおおおおおおおおおお！！！！！【#ホロライブ大運動会2021】,159,685981,25955,100,2021-11-06,【 本番 】 白 A チーム !!! いく ぞ おお おお おお おお おお !!!!!【# ホロライブ 大 運動会 2021 】
2021-11-05T13:20:00Z,yGPHk99eAtI,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】みんなでゆる練習するしゅばあああああああああ！！！！！！/MINE CFAFT【ホロライブ/大空スバル】,51,188744,10607,42,2021-11-05,【 # 生 スバル 】 みんな で ゆる 練習 する し ゅばあああああああああ !!!!!!/ MINE   CFAFT 【 ホロライブ / 大空 スバル 】
2021-11-03T13:55:40Z,rlpDf4q_zNY,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】みんなでゆる練習するしゅばあああああああああ！！！！！！/MINE CFAFT【ホロライブ/大空スバル】,97,324356,13326,38,2021-11-03,【 # 生 スバル 】 みんな で ゆる 練習 する し ゅばあああああああああ !!!!!!/ MINE   CFAFT 【 ホロライブ / 大空 スバル 】
2021-11-02T16:54:55Z,seJ0RcOWbOw,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#６】最終回間近！？カスタムロボV2やるしゅばああああああああああああああ/CUSTOM ROBO V2【ホロライブ/大空スバル】,57,145653,7710,51,2021-11-02,【 # 6 】 最終 回 間近 !? カスタムロボ V 2 やる し ゅばああああああああああああああ / CUSTOM   ROBO   V 2 【 ホロライブ / 大空 スバル 】
2021-11-02T12:27:52Z,mrG9WZGGS8Y,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】ホロライブ運動会！いくぞ白Aチーム！！！ぷち練習会！：MINECRAFT【ホロライブ/大空スバル】,50,148170,9422,37,2021-11-02,【 # 生 スバル 】 ホロライブ 運動会 ! いく ぞ 白 A チーム !!! ぷち 練習 会 !: MINECRAFT 【 ホロライブ / 大空 スバル 】
2021-10-31T11:35:24Z,3wjfIrofYOU,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#４】シリーズ初見！！！龍が如く極するしゅばああああああああああああ！！！！！！：YAKUZA KIWAMI【※ネタバレあり】,80,299835,11441,120,2021-10-31,【 # 4 】 シリーズ 初 見 !!! 龍 が 如く 極 する し ゅばああああああああああああ !!!!!!: YAKUZA   KIWAMI 【 ※ ネタ バレ あり 】
2021-10-30T10:22:02Z,4iAiwgEcTmg,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#３】シリーズ初見！！！龍が如く極するしゅばああああああああああああ！！！！！！：YAKUZA KIWAMI【※ネタバレあり】,82,254269,10842,67,2021-10-30,【 # 3 】 シリーズ 初 見 !!! 龍 が 如く 極 する し ゅばああああああああああああ !!!!!!: YAKUZA   KIWAMI 【 ※ ネタ バレ あり 】
2021-10-30T02:12:55Z,tIh3jv3GMuQ,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】おはすば/free talk【ホロライブ/大空スバル】,114,178698,12332,47,2021-10-30,【 # 生 スバル 】 お はす ば / free   talk 【 ホロライブ / 大空 スバル 】
2021-10-28T12:35:35Z,g05bmY0mkG4,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】マイクラするしゅばあああああああああああああああああああ！！！！！：MINECRAFT【ホロライブ/大空スバル】,83,224117,12101,78,2021-10-28,【 # 生 スバル 】 マイクラ する し ゅばあああああああああああああああああああ !!!!!: MINECRAFT 【 ホロライブ / 大空 スバル 】
2021-10-26T16:25:00Z,YSowdwODds4,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】マーベルのド新作ゲームプレイするしゅばあああああああああああ！！！！！！！：Marvel’s Guardians of the Galaxy game 【ホロライブ/大空スバル】,91,278499,15332,79,2021-10-26,【 # 生 スバル 】 マーベル の ド 新作 ゲームプレイ する し ゅばあああああああああああ !!!!!!!: Marvel ' s   Guardians   of   the   Galaxy   game 【 ホロライブ / 大空 スバル 】
2021-10-24T08:21:34Z,yRBQUCG-ZX8,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#２】シリーズ初見！！！龍が如く極するしゅばああああああああああああ！！！！！！：YAKUZA KIWAMI【※ネタバレあり】,132,318556,11430,107,2021-10-24,【 # 2 】 シリーズ 初 見 !!! 龍 が 如く 極 する し ゅばああああああああああああ !!!!!!: YAKUZA   KIWAMI 【 ※ ネタ バレ あり 】
2021-10-23T11:03:12Z,hVqKC-KAVMQ,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】シリーズ初見！！！龍が如く極するしゅばああああああああああああ！！！！！！：YAKUZA KIWAMI【※ネタバレあり】,78,254256,12266,90,2021-10-23,【 # 生 スバル 】 シリーズ 初 見 !!! 龍 が 如く 極 する し ゅばああああああああああああ !!!!!!: YAKUZA   KIWAMI 【 ※ ネタ バレ あり 】
2021-10-23T02:17:23Z,mIVZ2RbcMLY,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】おはすば/free talk【ホロライブ/大空スバル】,82,161747,10949,41,2021-10-23,【 # 生 スバル 】 お はす ば / free   talk 【 ホロライブ / 大空 スバル 】
2021-10-22T13:12:04Z,_Sn1iVjaN5c,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【ご褒美】ポケモンセンターで爆買いしてきたしゅばああああああああああああああ！！！！/Open pokemon goods【ホロライブ/大空スバル】,89,216294,11421,63,2021-10-22,【 ご 褒美 】 ポケモンセンター で 爆買 い し て き た し ゅばああああああああああああああ !!!!/ Open   pokemon   goods 【 ホロライブ / 大空 スバル 】
2021-10-21T14:39:24Z,1sp9H3t8-Os,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#５】カスタムロボV2やるしゅばああああああああああああああ/CUSTOM ROBO V2【ホロライブ/大空スバル】,70,190883,8121,58,2021-10-21,【 # 5 】 カスタムロボ V 2 やる し ゅばああああああああああああああ / CUSTOM   ROBO   V 2 【 ホロライブ / 大空 スバル 】
